predict_value,currect_value
9999.0,11999.0
9999.0,14499.0
9800.830038587641,6499.0
13999.0,8999.0
9999.0,8999.0
18526.915655993987,12999.0
18526.915655993987,16000.0
18526.915655993987,16000.0
17399.875028757448,25000.0
18526.915655993987,12999.0
18526.915655993987,12999.0
18526.915655993987,13499.0
13999.0,12999.0
13999.0,7999.0
10590.057212495834,11000.0
36000.0,32000.0
9800.830038587641,8500.0
9800.830038587641,8499.0
10590.057212495834,7999.0
9800.830038587641,8499.0
9800.830038587641,6500.0
9999.0,9999.0
9999.0,11500.0
22000.0,25000.0
22000.0,22999.0
18526.915655993987,14800.0
18526.915655993987,11499.0
9800.830038587641,4499.0
9800.830038587641,6999.0
37530.0,24999.0
36000.0,25500.0
37530.0,24999.0
18526.915655993987,7499.0
18526.915655993987,12500.0
21000.0,24800.0
18526.915655993987,14000.0
9800.830038587641,6999.0
10590.057212495834,9499.0
9800.830038587641,8000.0
18526.915655993987,11999.0
18526.915655993987,8999.0
9800.830038587641,4500.0
9999.0,12000.0
18526.915655993987,10999.0
10590.057212495834,18000.0
21000.0,22000.0
18526.915655993987,11999.0
37530.0,37999.0
18526.915655993987,11999.0
21000.0,21999.0
9999.0,6999.0
13999.0,6499.0
17399.875028757448,11999.0
10590.057212495834,8499.0
9800.830038587641,5999.0
9999.0,6999.0
17399.875028757448,14499.0
18526.915655993987,11499.0
9800.830038587641,9799.0
10590.057212495834,14999.0
9800.830038587641,6999.0
9800.830038587641,6999.0
9800.830038587641,4499.0
9800.830038587641,10499.0
9800.830038587641,6999.0
18526.915655993987,11499.0
9800.830038587641,4500.0
37530.0,37999.0
9800.830038587641,6999.0
9800.830038587641,6999.0
17399.875028757448,14999.0
9800.830038587641,6999.0
9800.830038587641,7000.0
18526.915655993987,10999.0
10590.057212495834,6999.0
37530.0,37999.0
10590.057212495834,8299.0
9800.830038587641,8999.0
21000.0,21000.0
37530.0,48000.0
9800.830038587641,5799.0
9800.830038587641,4800.0
18526.915655993987,10999.0
10590.057212495834,9000.0
10590.057212495834,9500.0
9999.0,12000.0
9800.830038587641,8999.0
9800.830038587641,7500.0
9800.830038587641,5999.0
9800.830038587641,5700.0
10590.057212495834,8999.0
9800.830038587641,5699.0
9800.830038587641,6499.0
9800.830038587641,3599.0
18526.915655993987,11999.0
9800.830038587641,5700.0
9800.830038587641,7800.0
9800.830038587641,5999.0
9800.830038587641,7799.0
10590.057212495834,9499.0
9800.830038587641,11000.0
9999.0,10499.0
10590.057212495834,12000.0
9800.830038587641,6999.0
9800.830038587641,5499.0
9800.830038587641,6199.0
18526.915655993987,14800.0
10590.057212495834,7499.0
18526.915655993987,12999.0
22000.0,24500.0
9800.830038587641,5499.0
9800.830038587641,6500.0
9800.830038587641,5499.0
9800.830038587641,8500.0
9800.830038587641,6499.0
18526.915655993987,12999.0
18526.915655993987,12500.0
17399.875028757448,14999.0
9999.0,8299.0
9800.830038587641,6999.0
10590.057212495834,6000.0
10590.057212495834,10999.0
22000.0,18500.0
9800.830038587641,5999.0
10590.057212495834,8799.0
9999.0,8500.0
18526.915655993987,15499.0
9800.830038587641,7799.0
9800.830038587641,6999.0
10590.057212495834,7999.0
18526.915655993987,12000.0
9999.0,11000.0
9800.830038587641,6000.0
18526.915655993987,11000.0
13999.0,8000.0
17399.875028757448,14999.0
9800.830038587641,5599.0
10590.057212495834,8499.0
10590.057212495834,7499.0
9800.830038587641,9499.0
9800.830038587641,4500.0
9800.830038587641,6000.0
18526.915655993987,10999.0
9800.830038587641,5499.0
9800.830038587641,5599.0
13999.0,11499.0
9800.830038587641,8500.0
9800.830038587641,8799.0
9800.830038587641,3999.0
10590.057212495834,8999.0
9800.830038587641,7499.0
9800.830038587641,5999.0
10590.057212495834,5799.0
9800.830038587641,5499.0
9800.830038587641,9000.0
9800.830038587641,5500.0
10590.057212495834,8499.0
10590.057212495834,5999.0
9800.830038587641,6199.0
17399.875028757448,20000.0
18526.915655993987,12999.0
10590.057212495834,5500.0
9800.830038587641,5999.0
9999.0,5999.0
18526.915655993987,12999.0
10590.057212495834,11999.0
18526.915655993987,27000.0
9800.830038587641,6000.0
36000.0,23000.0
9800.830038587641,5799.0
9800.830038587641,11500.0
13999.0,7999.0
9800.830038587641,6499.0
18526.915655993987,13999.0
18526.915655993987,12499.0
9800.830038587641,4500.0
9800.830038587641,5299.0
9800.830038587641,9500.0
9800.830038587641,5999.0
10590.057212495834,6499.0
18526.915655993987,13999.0
18526.915655993987,11999.0
10590.057212495834,7499.0
10590.057212495834,9499.0
10590.057212495834,8788.0
10590.057212495834,8300.0
21000.0,37799.0
9800.830038587641,4499.0
18526.915655993987,14999.0
10590.057212495834,9600.0
9800.830038587641,6299.0
9800.830038587641,4999.0
10590.057212495834,10499.0
13999.0,8499.0
18526.915655993987,11499.0
18526.915655993987,11999.0
21000.0,25999.0
9800.830038587641,5499.0
13999.0,6999.0
9800.830038587641,6499.0
18526.915655993987,9999.0
9800.830038587641,4799.0
9800.830038587641,6499.0
13999.0,7999.0
9999.0,12999.0
17399.875028757448,12499.0
9800.830038587641,6499.0
9800.830038587641,3699.0
18526.915655993987,14999.0
9800.830038587641,6500.0
17399.875028757448,16499.0
10590.057212495834,6999.0
9800.830038587641,10400.0
18526.915655993987,10999.0
36000.0,24999.0
9800.830038587641,4500.0
18526.915655993987,11499.0
9800.830038587641,6199.0
18526.915655993987,9000.0
9800.830038587641,7800.0
9800.830038587641,6499.0
9800.830038587641,5999.0
9800.830038587641,4099.0
10590.057212495834,10499.0
9800.830038587641,5999.0
9800.830038587641,3999.0
18526.915655993987,15499.0
9800.830038587641,5299.0
13999.0,11499.0
18526.915655993987,11999.0
9800.830038587641,4799.0
13999.0,10999.0
9800.830038587641,5199.0
13999.0,7999.0
9800.830038587641,6499.0
9800.830038587641,6499.0
18526.915655993987,11999.0
10590.057212495834,8299.0
9800.830038587641,4999.0
